764, 757
788, 277
29, 563
467, 46
283, 459
697, 599
967, 820
925, 76
521, 873
774, 948
838, 189
656, 629
53, 23
587, 44
145, 368
801, 75
471, 613
172, 928
941, 648
1, 356
626, 59
332, 263
621, 390
789, 122
713, 386
808, 679
462, 119
98, 330
613, 669
193, 32
191, 565
596, 867
939, 498
432, 182
255, 881
367, 503
269, 229
728, 86
698, 369
474, 591
618, 262
88, 223
583, 85
97, 889
973, 366
620, 480
233, 549
321, 152
935, 295
279, 457
794, 412
729, 747
457, 794
152, 714
654, 332
438, 793
54, 870
830, 829
530, 234
148, 573
622, 735
355, 813
324, 132
912, 137
379, 812
83, 28
183, 353
369, 118
384, 739
254, 432
317, 981
963, 452
225, 622
376, 806
923, 806
993, 346
493, 298
43, 264
473, 468
469, 172
277, 817
984, 936
795, 818
980, 590
687, 716
572, 192
290, 381
254, 613
810, 774
274, 708
609, 784
115, 314
848, 331
174, 320
680, 110
447, 99
44, 126
324, 823
828, 688
707, 426
